AC_NUM, ACID, TRACK_CNT, ST_TIME, END_TIME, ORIG_ST_TIME, ORIG_END_TIME, MAX_X, MIN_X, MAX_Y, MIN_Y, MAX_Z, MIN_Z, AC_EQUIP, AC_TYPE, DEST_FIX, FLIGHT_TYPE, ORIGIN_FIX, GAP_VALUE, MAX_X_SMO, MIN_X_SMO, MAX_Y_SMO, MIN_Y_SMO, MAX_Z_SMO, MIN_Z_SMO, TOD_TIME, TOC_TIME, TOC_ALT, END_CENTER, START_CENTER, END_CENTER_TIME, START_CENTER_TIME, LOW_Z, HIGH_Z, LOW_TIME, HIGH_TIME, BETWEEN_TIME, AVG_CLIMB, LOW_GROUND_SPEED_SMO, HIGH_GROUND_SPEED_SMO
4958,SKF6130_06V,380,63060,66850,63057,66854,411.949,34.531,640.683,497.223,30000,2550, L,CRJ7, BNA, OVR, LGA,0,411.757,35.498,640.41,497.521,30000,2998,-1,64160,30000, n/a, ZNY,65880,64650,2550,11300,63060,63270,210,0.24761904761904763,179,231
4960,SKF6146_551,370,56240,59930,56235,59932,406.746,178.832,635.931,345.132,26000,700, L,CRJ7, RDU, ARR, LGA,0,406.331,179.179,635.274,345.426,26000,701,-1,57300,26000, n/a, ZNY,59080,56650,8207,17000,56240,56550,310,0.2645161290322581,235,317
4961,SKF6146_900,395,64220,68160,64214,68160,419.8,171.2,640.684,343.15,27000,1400, L,CRJ7, LGA, DEP, RDU,0,419.469,171.564,640.594,343.479,27000,1400,66500,65240,27000, n/a, ZDC,67060,64360,4500,12000,64220,64390,170,0.5058823529411764,191,277
4962,SKF6149_12T,374,48320,52050,48319,52053,413.959,178.992,627.967,345.169,26000,700, L,E135, RDU, ARR, JFK,0,413.574,179.29,627.645,345.433,26000,703,-1,49440,26000, n/a, ZNY,51180,48710,2941,10900,48320,48520,200,0.335,181,248
4963,SKF6149_91T,410,55730,59820,55725,59820,429.5,176.4,626.4,335.3,27000,1900, L,E135, JFK, DEP, RDU,0,429.318,176.678,626.192,335.528,27000,1950,58950,56680,27000, n/a, ZDC,58620,55730,2015,18076,55730,56260,530,0.3886792452830189,175,381
4964,SKF6168_646,211,41170,43270,41166,43270,430.9,262.3,617.4,523.032,17000,2833, L,CRJ7, JFK, DEP, DCA,0,430.542,262.626,616.817,523.3,17000,3344,42490,41580,17000, n/a, ZDC,42070,41300,2833,17000,41170,41560,390,0.7333333333333333,158,444
4966,SKF6340_303,391,69390,73290,69381,73290,407.574,33.7,643.15,497,28000,7800, L,E135, SDF, OVR, LGA,0,407.216,35.383,642.99,497.508,28000,8132,-1,70170,28000, n/a, ZNY,72440,70730,7800,17000,69390,69730,340,0.2823529411764706,209,305
4969,SKF6345_191,276,74650,77400,74646,77409,437.7,305.144,623.978,402.616,26000,200, L,E145, ORF, ARR, JFK,0,437.614,305.452,623.688,403.002,26000,202,76300,75720,26000, n/a, ZNY,76560,75140,5453,26000,74650,75710,1060,0.12264150943396226,258,388
4970,SKF6355_712,77,83590,84350,83585,84357,151.341,122.941,378.283,346.5,22100,7408, L,E135, LGA, OVR, GSO,0,151.069,122.971,378.161,346.841,21926,8045,-1,83740,12000, n/a, ZDC,84350,83630,7408,12000,83590,83730,140,0.55,232,309
4971,SKF6355_76F,424,75850,80080,75841,80086,407.283,123.896,644.2,360.272,30000,1200, L,E135, GSO, OVR, LGA,0,406.926,124.204,643.938,360.533,30000,1201,-1,76760,28000, n/a, ZNY,79270,77140,7984,18900,75850,76280,430,0.29767441860465116,221,349
4972,SKF6383_661,238,10540,12910,10534,12914,414.911,267.3,627.756,509.9,22000,733, L,CRJ7, DCA, ARR, JFK,0,414.482,267.302,627.557,510.058,22000,836,-1,11430,22000, n/a, ZDC,0,10540,3700,11000,10540,10700,160,0.69375,183,294
4974,SKF6408_215,389,44450,48330,44448,48331,410.154,34,644.3,353.883,28000,5092, L,CRJ7, ATL, OVR, LGA,0,409.871,35.066,644.03,354.796,28000,5577,-1,45390,28000, n/a, ZNY,47430,45710,5092,16900,44450,44750,300,0.44,194,326
4975,SKF6421_578,412,67080,71190,67078,71199,406.783,35.361,642.667,355.023,34000,8800, L,CRJ7, ATL, OVR, LGA,0,406.243,35.999,642.51,355.561,34000,9224,-1,67920,28000, n/a, ZNY,70240,68310,8800,28000,67080,67920,840,0.22738095238095238,220,411
4976,SKF6434_017,438,47350,51720,47348,51729,420.1,165.025,641.968,337.2,27000,1300, L,CRJ7, LGA, DEP, RDU,0,419.8,165.139,641.864,337.365,27000,1304,50050,48260,27000, n/a, ZDC,50530,47610,5283,10000,47350,47490,140,0.3357142857142857,211,258
4978,SKF6608_20A,361,81820,85420,81817,85427,411.827,35.459,642.8,497.433,36000,2325, L,CRJ7, BNA, OVR, LGA,0,411.562,36.317,642.632,497.703,36000,2685,-1,83650,36000, n/a, ZNY,84610,83140,2325,14600,81820,82080,260,0.35384615384615387,184,276
4979,SKF6615_755,139,85010,86390,85004,86398,407.056,279.233,643.752,582.767,36000,8250, L,CRJ7, LIT, OVR, LGA,0,406.581,279.964,643.569,583.172,36000,8556,-1,86350,36000, n/a, ZDC,0,85010,8250,36000,85010,86340,1330,0.11578947368421053,240,394
4980,SKF6615_947,368,2110,5780,2101,5785,412.661,36.425,644.657,497.767,36000,4546, L,CRJ7, LIT, OVR, LGA,0,412.49,37.367,644.306,498.039,36000,4979,-1,3800,36000, n/a, ZNY,4980,3570,4546,36000,2110,3790,1680,0.11428571428571428,210,402
4982,SKF6617_536,444,59950,64380,59944,64388,410.762,15.6,643.6,393.533,28000,4730, L,E135, TYS, OVR, LGA,0,410.562,16.323,643.3,393.789,28000,5101,63570,61310,28000, n/a, ZNY,63300,61440,4730,20000,59950,60530,580,0.23275862068965517,188,323
4983,SKF6620_302,276,66090,68840,66081,68845,411.926,258.6,625.753,523.425,22000,741, L,CRJ7, DCA, ARR, JFK,0,411.676,258.761,625.314,523.655,22000,919,67730,66660,22000, n/a, ZDC,0,66090,5884,11000,66090,66210,120,0.39166666666666666,199,246
4984,SKF6620_432,233,76220,78540,76215,78543,431.985,267.4,607.939,510.746,17200,1366, L,CRJ7, JFK, DEP, DCA,0,431.642,267.413,607.415,511.086,17067,1647,77800,76730,17000, n/a, ZDC,77330,76240,1366,17000,76220,76720,500,0.474,170,407
4985,SKF6621_896,462,8490,13100,8486,13100,438.134,174,628.1,334.815,28000,800, L,E135, RDU, ARR, JFK,0,437.768,174.017,627.784,335.147,28000,800,-1,9560,28000, n/a, ZNY,12040,8890,2366,28000,8490,9550,1060,0.15471698113207547,190,354
4986,SKF6627_03W,223,59040,61260,59036,61264,425.7,267.265,624.651,513.8,17000,1800, L,CRJ7, JFK, DEP, DCA,0,425.686,267.338,624.368,513.976,16981,1800,60330,59480,17000, n/a, ZDC,60060,59080,2433,16991,59040,59460,420,0.5928571428571429,176,425
4987,SKF6627_097,227,52990,55250,52986,55252,411.937,262.542,625.572,523.815,22000,746, L,CRJ7, DCA, ARR, JFK,0,411.594,262.745,625.053,523.926,22000,941,-1,53630,22000, n/a, ZDC,0,52990,5233,11000,52990,53140,150,0.43333333333333335,208,273
4988,SKF6643_13N,399,64230,68210,64227,68211,433.8,178.524,628.15,344.82,28000,800, L,E135, RDU, ARR, JFK,0,433.461,178.989,627.938,345.229,28000,800,-1,65100,28000, n/a, ZNY,67420,64640,1900,28000,64230,65090,860,0.25465116279069766,156,375
4989,SKF6643_499,401,72550,76550,72543,76550,425.039,176.859,627.6,337.617,27000,800, L,E135, JFK, DEP, RDU,0,424.792,177.016,627.358,338.023,27000,817,75520,73480,27000, n/a, ZDC,75350,72630,3633,17783,72550,73030,480,0.4166666666666667,186,386
4991,SKF6649_078,236,4280,6630,4280,6631,427.6,261.149,619.25,522.9,17000,2400, L,CRJ7, JFK, DEP, DCA,0,427.574,261.409,618.768,523.267,17000,2878,5790,4690,17000, n/a, ZDC,5430,4280,2400,17000,4280,4680,400,0.6175,178,425
4992,SKF6649_547,248,83850,86320,83846,86324,415.043,262.4,628.537,523.321,20000,700, L,CRJ7, DCA, ARR, JFK,0,414.673,262.574,628.307,523.562,20000,810,85170,84640,20000, n/a, ZDC,0,83850,2300,11000,83850,84040,190,0.5157894736842106,178,276
4994,SKF6679_564,372,74540,78250,74534,78256,419.25,171.5,641.649,339.722,31000,1300, L,CRJ7, LGA, DEP, RDU,0,418.917,171.83,641.468,340.075,31000,1303,76170,75630,31000, n/a, ZDC,77130,74600,6838,17900,74540,74910,370,0.6351351351351351,196,431
4995,SKF6679_845,362,66140,69750,66131,69754,408.525,178.967,637.918,345.233,26000,800, L,CRJ7, RDU, ARR, LGA,0,408.252,179.288,637.511,345.515,26000,802,-1,67150,26000, n/a, ZNY,68990,66660,6715,16900,66140,66530,390,0.5076923076923077,223,421
