AC_NUM, ACID, TRACK_CNT, ST_TIME, END_TIME, ORIG_ST_TIME, END_ST_TIME, MAX_X, MIN_X, MAX_Y, MIN_Y, MAX_Z, MIN_Z, AC_EQUIP, AC_TYPE, DEST_FIX, FLIGHT_TYPE, ORIGIN_FIX, GAP_VALUE, MAX_X_SMO, MIN_X_SMO, MAX_Y_SMO, MIN_Y_SMO, MAX_Z_SMO, MIN_Z_SMO, TOD_TIME, TOC_TIME, TOC_ALT, END_CENTER, START_CENTER, END_CENTER_TIME, START_CENTER_TIME, LOW_Z, HIGH_Z, LOW_TIME, HIGH_TIME, BETWEEN_TIME, AVG_CLIMB, LOW_GROUND_SPEED_SMO, HIGH_GROUND_SPEED_SMO
103, ABJ3189_738, 202, 83700, 85710, 83696, 85713, 241.036, 54.531, 558.661, 523.823, 34000, 4166, L, B739, LAX, DEP, IAD, 0, 240.466, 55.281, 558.212, 523.917, 34000, 4546, -1, 84820, 34000, n/a, ZDC, 84850, 83700, 4166, 34000, 83700.0, 84800.0, 1100.0, 0.14909090909090908, 201.0, 365.0
105, ABJ3191_565, 154, 56320, 57850, 56319, 57850, 243.684, 129.1, 614.5, 529.674, 32000, 3425, L, B739, SFO, DEP, IAD, 0, 243.461, 129.917, 613.908, 530.342, 32000, 3765, -1, 57290, 32000, n/a, ZDC, 56750, 56420, 3425, 32000, 56320.0, 57270.0, 950.0, 0.1568421052631579, 223.0, 372.0
108, ABJ3198_614, 233, 84070, 86390, 84069, 86397, 281.35, 59.042, 555.508, 528.7, 36000, 1758, L, B738, DEN, DEP, BWI, 0, 280.833, 59.72, 555.195, 528.881, 36000, 2211, -1, 85360, 36000, n/a, ZDC, 85580, 84270, 1758, 35500, 84070.0, 85240.0, 1170.0, 0.14615384615384616, 192.0, 363.0
113, ABJ3233_59F, 426, 65520, 69770, 65518, 69775, 397.281, 16.859, 627.383, 383.642, 30000, 3100, L, B739, IAH, OVR, EWR, 0, 396.743, 17.87, 627.316, 384.227, 30000, 3534, -1, 66430, 30000, n/a, ZNY, 68660, 66750, 3100, 30000, 65520.0, 66410.0, 890.0, 0.24943820224719102, 200.0, 422.0
116, ABJ3238_612, 422, 79320, 83530, 79313, 83533, 398.922, 16.775, 627.875, 388.25, 36000, 2733, L, B752, IAH, OVR, EWR, 0, 398.44, 17.562, 627.711, 388.697, 36000, 3251, -1, 80450, 36000, n/a, ZNY, 82410, 80640, 2733, 17000, 79320.0, 79670.0, 350.0, 0.3028571428571429, 206.0, 312.0
117, ABJ3243_013, 280, 280, 3070, 276, 3077, 266.906, 16.246, 528.7, 388.277, 40000, 1384, L, B737, IAH, DEP, DCA, 0, 266.693, 16.991, 528.422, 388.692, 40000, 1844, -1, 1640, 40000, n/a, ZDC, 2000, 280, 1384, 15000, 280.0, 580.0, 300.0, 0.5866666666666667, 140.0, 316.0
118, ABJ3243_33Y, 46, 85940, 86390, 85936, 86397, 264.347, 224.059, 528.6, 523.758, 23566, 4723, L, B737, IAH, DEP, DCA, 0, 263.971, 224.895, 528.334, 523.877, 23303, 5072, -1, 86390, 23566, n/a, ZDC, 86390, 85970, 4723, 23566, 85940.0, 86390.0, 450.0, 0.5022222222222222, 167.0, 393.0
120, ABJ3247_92P, 146, 80060, 81510, 80060, 81517, 247.3, 139.892, 620.823, 530.6, 32000, 2600, L, B739, PDX, DEP, IAD, 0, 247.025, 140.596, 620.415, 531.183, 32000, 3058, -1, 81140, 32000, n/a, ZDC, 80420, 80240, 2600, 32000, 80060.0, 81120.0, 1060.0, 0.15849056603773584, 217.0, 385.0
122, ABJ3263_639, 141, 83700, 85100, 83695, 85102, 241.646, 136.083, 618.583, 535.246, 32000, 6330, L, B739, LAS, DEP, IAD, 0, 241.434, 136.932, 618.07, 535.698, 32000, 6656, -1, 84870, 32000, n/a, ZDC, 84110, 83710, 6330, 31000, 83700.0, 84650.0, 950.0, 0.14842105263157895, 240.0, 381.0
124, ABJ3294_67W, 426, 62240, 66610, 62232, 66614, 394.934, 89.523, 626.6, 254.062, 38000, 6566, L, B752, MCO, OVR, EWR, 0, 394.466, 89.811, 626.541, 255.143, 38000, 7014, -1, 63100, 36000, n/a, ZNY, 65400, 63020, 6566, 36000, 62240.0, 63080.0, 840.0, 0.22142857142857142, 230.0, 416.0
131, ABJ3325_651, 240, 59910, 62300, 59904, 62307, 282.25, 55.639, 569.423, 528.7, 38000, 1850, L, B738, ORD, DEP, BWI, 0, 281.858, 56.308, 568.992, 528.816, 38000, 2203, -1, 61210, 38000, n/a, ZDC, 61510, 60290, 1850, 27000, 59910.0, 60560.0, 650.0, 0.32153846153846155, 178.0, 387.0
133, ABJ3327_621, 467, 48380, 53040, 48377, 53045, 404.6, 197.754, 627.786, 162.677, 36000, 2175, L, A320, FLL, OVR, EWR, 0, 404.244, 198.031, 627.299, 163.682, 36000, 2489, -1, 49660, 34000, n/a, ZNY, 52310, 48800, 2175, 6000, 48380.0, 48490.0, 110.0, 0.7727272727272727, 176.0, 261.0
136, ABJ3333_996, 445, 79870, 84310, 79861, 84318, 400.5, 197.646, 627.049, 162.761, 34000, 2800, L, B739, MCO, OVR, EWR, 0, 400.312, 197.889, 626.747, 163.628, 34000, 3059, -1, 81020, 34000, n/a, ZNY, 83630, 80290, 2800, 6000, 79870.0, 79970.0, 100.0, 0.58, 198.0, 256.0
139, ABJ3344_430, 431, 71320, 75760, 71319, 75765, 396.949, 65.585, 627.283, 259.377, 36375, 3441, L, B739, TPA, OVR, EWR, 0, 396.413, 66.09, 627.177, 260.656, 36136, 3823, 74560, 72620, 36000, n/a, ZNY, 74560, 72610, 3441, 36000, 71320.0, 72610.0, 1290.0, 0.16744186046511628, 210.0, 426.0
143, ABJ3350_979, 212, 36840, 39090, 36840, 39093, 265.7, 59, 576.4, 523, 34000, 3000, L, B738, ORD, DEP, DCA, 0, 265.417, 59.86, 576.043, 523.342, 34000, 3450, -1, 37830, 34000, n/a, ZDC, 38140, 36930, 3000, 17000, 36840.0, 37110.0, 270.0, 0.5037037037037037, 156.0, 292.0
145, ABJ3356_420, 174, 50400, 52130, 50393, 52136, 265.668, 134.362, 617.277, 523.732, 34000, 2833, L, B738, SFO, DEP, DCA, 0, 265.344, 135.225, 616.702, 523.969, 34000, 3118, -1, 50810, 17000, n/a, ZDC, 51230, 50530, 2833, 17000, 50400.0, 50780.0, 380.0, 0.4789473684210526, 184.0, 366.0
146, ABJ3358_028, 446, 36600, 41180, 36596, 41181, 395.737, 77.35, 632.1, 261.808, 38000, 4833, L, B738, TPA, OVR, EWR, 0, 395.164, 77.989, 631.797, 263.193, 38000, 5301, -1, 37790, 38000, n/a, ZNY, 39970, 37780, 4833, 35800, 36600.0, 37590.0, 990.0, 0.1787878787878788, 210.0, 387.0
147, ABJ3363_763, 364, 49560, 53190, 49559, 53194, 395.342, 35.739, 629.962, 497.623, 32000, 4866, L, B739, AUS, OVR, EWR, 0, 394.77, 36.575, 629.651, 497.868, 32000, 5445, -1, 50630, 32000, n/a, ZNY, 52210, 50450, 4866, 11000, 49560.0, 49700.0, 140.0, 0.1, 232.0, 246.0
150, ABJ3365_910, 478, 47660, 52430, 47655, 52435, 400.369, 135.708, 626.549, 198.585, 36000, 2950, L, B739, MCO, OVR, EWR, 0, 400.236, 136.274, 626.11, 199.277, 36000, 3358, -1, 48990, 36000, n/a, ZNY, 51580, 48050, 2950, 6084, 47660.0, 47740.0, 80.0, 0.2125, 225.0, 242.0
151, ABJ3366_346, 255, 9250, 11920, 9246, 11926, 242.198, 93.65, 525.298, 268.5, 34000, 4266, L, B739, MCO, DEP, IAD, 0, 241.922, 93.94, 524.727, 269.413, 34000, 4689, -1, 10340, 34000, n/a, ZDC, 10730, 9290, 4266, 34000, 9250.0, 10320.0, 1070.0, 0.15794392523364487, 235.0, 404.0
154, ABJ3369_492, 166, 36610, 38260, 36608, 38265, 276.693, 129.317, 614.367, 542.161, 34000, 6223, L, B738, SFO, DEP, BWI, 0, 276.176, 130.028, 613.836, 542.443, 34000, 6785, -1, 37740, 34000, n/a, ZDC, 37110, 36860, 6223, 14000, 36610.0, 36840.0, 230.0, 0.47391304347826085, 214.0, 323.0
155, ABJ3370_255, 428, 41410, 45680, 41405, 45688, 397.344, 15.677, 627.293, 393.446, 40083, 4316, L, B737, MSY, OVR, EWR, 0, 396.755, 16.345, 627.079, 393.689, 40030, 4782, 45320, 42600, 40000, n/a, ZNY, 44610, 42280, 4316, 11100, 41410.0, 41530.0, 120.0, 0.48333333333333334, 189.0, 247.0
160, ABJ3378_521, 471, 36650, 41350, 36645, 41356, 400.5, 199.631, 626.894, 156.946, 36000, 3150, L, B739, FLL, OVR, EWR, 0, 400.274, 199.882, 626.469, 157.848, 36000, 3472, -1, 39120, 36000, n/a, ZNY, 40590, 36910, 3150, 34000, 36650.0, 37560.0, 910.0, 0.1912087912087912, 209.0, 383.0
161, ABJ3379_992, 433, 67370, 71810, 67361, 71817, 397.328, 79.908, 625.028, 265.365, 38000, 4425, L, B738, MCO, OVR, EWR, 0, 396.963, 80.141, 625.017, 266.31, 38000, 4698, -1, 68220, 32000, n/a, ZNY, 70620, 68370, 4425, 31976, 67370.0, 68210.0, 840.0, 0.21904761904761905, 221.0, 405.0
167, ABJ3391_692, 282, 47420, 50350, 47418, 50356, 243.1, 81.777, 523.124, 270, 34000, 4600, L, B739, MMUN, UNK, IAD, 0, 243.051, 82.143, 522.402, 270.828, 34000, 5022, -1, 48720, 34000, n/a, ZDC, 49160, 47570, 4600, 25000, 47420.0, 48030.0, 610.0, 0.17540983606557378, 228.0, 335.0
169, ABJ3393_129, 190, 12650, 14540, 12648, 14544, 242.358, 59.6, 577.1, 524.3, 40000, 4700, L, B737, ORD, DEP, IAD, 0, 241.749, 60.409, 576.661, 524.476, 40000, 5235, -1, 13850, 40000, n/a, ZDC, 13870, 12760, 4700, 24000, 12650.0, 13070.0, 420.0, 0.3333333333333333, 191.0, 331.0
172, ABJ3400_787, 415, 77240, 81500, 77234, 81504, 411.455, 9.533, 642.5, 419.366, 36000, 2750, L, B738, IAH, OVR, LGA, 0, 411.113, 10.278, 642.139, 419.755, 36000, 3210, -1, 78460, 36000, n/a, ZNY, 80380, 78730, 2750, 36000, 77240.0, 78450.0, 1210.0, 0.20991735537190082, 172.0, 426.0
175, ABJ3435_871, 434, 60170, 64630, 60165, 64634, 395.332, 78.967, 627.224, 265.233, 38000, 5269, L, B738, TPA, OVR, EWR, 0, 394.803, 79.367, 627.072, 266.146, 38000, 5797, -1, 61120, 36000, n/a, ZNY, 63430, 61170, 5269, 36000, 60170.0, 61100.0, 930.0, 0.2075268817204301, 215.0, 408.0
177, ABJ3437_485, 199, 79500, 81620, 79500, 81629, 450.47, 247.7, 658.277, 530.8, 33000, 3400, L, B739, BOS, DEP, IAD, 0, 449.458, 247.842, 657.369, 531.417, 32922, 3733, -1, 80770, 33000, n/a, ZDC, 80680, 79750, 3400, 10000, 79500.0, 79650.0, 150.0, 0.5933333333333334, 204.0, 293.0
180, ABJ3443_163, 285, 45270, 48110, 45265, 48115, 419.038, 248, 539.474, 258.823, 33000, 2808, L, B739, MDPC, UNK, IAD, 0, 418.174, 248.058, 539.194, 259.6, 33000, 3224, -1, 46780, 33000, n/a, ZDC, 46920, 45790, 2808, 10100, 45270.0, 45440.0, 170.0, 0.45294117647058824, 204.0, 281.0
183, ABJ3451_18W, 189, 60460, 62480, 60451, 62481, 453.4, 247.924, 657.031, 530.92, 29000, 3615, L, B737, BOS, DEP, IAD, 0, 452.353, 248.083, 656.306, 531.403, 29000, 4108, 62210, 61430, 29000, n/a, ZDC, 61530, 60460, 3615, 10100, 60460.0, 60590.0, 130.0, 0.5846153846153846, 226.0, 302.0
185, ABJ3451_70N, 146, 380, 1830, 376, 1832, 242.977, 131.567, 614.683, 532.446, 34000, 4753, L, B738, SFO, DEP, IAD, 0, 242.732, 132.367, 614.104, 533.03, 34000, 5207, -1, 1530, 34000, n/a, ZDC, 720, 430, 4753, 34000, 380.0, 1530.0, 1150.0, 0.13478260869565217, 237.0, 392.0
186, ABJ3452_392, 244, 45030, 47460, 45028, 47468, 281.008, 41.7, 543, 522.2, 36000, 2276, L, B738, DEN, DEP, BWI, 0, 280.513, 42.452, 542.892, 522.242, 36000, 2734, -1, 46590, 36000, n/a, ZDC, 46550, 45380, 2276, 10400, 45030.0, 45190.0, 160.0, 0.24375, 191.0, 230.0
187, ABJ3456_522, 311, 83290, 86390, 83284, 86397, 408.734, 134.442, 640.717, 447.25, 38100, 5423, L, B738, IAH, OVR, LGA, 0, 408.235, 135.138, 640.534, 447.67, 38033, 5852, -1, 84340, 34000, n/a, ZNY, 86390, 84570, 5423, 17000, 83290.0, 83550.0, 260.0, 0.17692307692307693, 223.0, 269.0
188, ABJ3457_797, 468, 57330, 62000, 57327, 62008, 400.5, 136, 627.83, 197.633, 38100, 2650, L, B752, MCO, OVR, EWR, 0, 400.313, 136.53, 627.375, 198.21, 38065, 3082, -1, 58560, 38000, n/a, ZNY, 61000, 57820, 2650, 6000, 57330.0, 57420.0, 90.0, 0.4777777777777778, 203.0, 246.0
192, ABJ3468_25V, 226, 53520, 55770, 53517, 55770, 266.555, 56.6, 570.1, 522.691, 38000, 1815, L, B738, ORD, DEP, DCA, 0, 266.344, 57.508, 569.542, 522.98, 38000, 2185, -1, 54710, 38000, n/a, ZDC, 54880, 53580, 1815, 38000, 53520.0, 54690.0, 1170.0, 0.20085470085470086, 139.0, 374.0
195, ABJ3474_243, 198, 43860, 45830, 43858, 45837, 242.762, 54.283, 558.85, 523.139, 38061, 3253, L, B737, SAN, DEP, IAD, 0, 242.156, 54.906, 558.478, 523.285, 38026, 3861, -1, 45000, 38000, n/a, ZDC, 45010, 43960, 3253, 38000, 43860.0, 44980.0, 1120.0, 0.15535714285714286, 195.0, 369.0
196, ABJ3475_59A, 174, 74420, 76150, 74418, 76150, 266.23, 129.4, 614.3, 523.085, 36000, 1846, L, B738, DEN, DEP, DCA, 0, 265.808, 130.233, 613.658, 523.48, 36000, 2117, -1, 75370, 32000, n/a, ZDC, 75070, 74630, 1846, 32000, 74420.0, 75360.0, 940.0, 0.1819148936170213, 195.0, 366.0
197, ABJ3476_245, 240, 39710, 42100, 39701, 42103, 279.775, 54.408, 558.762, 528.831, 38000, 4425, L, B738, ORD, DEP, BWI, 0, 279.42, 55.122, 558.312, 528.964, 38000, 4833, -1, 40810, 38000, n/a, ZDC, 41330, 39800, 4425, 38000, 39710.0, 40790.0, 1080.0, 0.1787037037037037, 187.0, 380.0
200, ABJ3480_355, 426, 4550, 8800, 4545, 8800, 398.269, 36.6, 628.185, 353.2, 40000, 3307, L, B738, ATL, OVR, EWR, 0, 397.87, 37.425, 627.964, 353.95, 40000, 3805, -1, 5690, 40000, n/a, ZNY, 7590, 5980, 3307, 17300, 4550.0, 4850.0, 300.0, 0.25, 196.0, 271.0
202, ABJ3482_308, 459, 51700, 56280, 51700, 56281, 407.4, 227.9, 627.6, 130.042, 38000, 2600, L, B738, MKJS, UNK, EWR, 0, 407.075, 227.937, 627.083, 131.415, 38000, 3092, -1, 52950, 36000, n/a, ZNY, 55360, 52330, 2600, 5961, 51700.0, 51770.0, 70.0, 0.5285714285714286, 201.0, 238.0
204, ABJ3484_077, 261, 8790, 11390, 8788, 11398, 244.317, 92.5, 526.034, 294.467, 32000, 2116, L, B739, TPA, DEP, IAD, 0, 243.753, 92.858, 525.63, 295.253, 32000, 2750, -1, 9700, 32000, n/a, ZDC, 10330, 8840, 2116, 32000, 8790.0, 9670.0, 880.0, 0.23295454545454544, 200.0, 405.0
209, ABJ3518_159, 216, 77960, 80110, 77956, 80111, 239.026, 32.085, 525.309, 484.031, 38000, 6692, L, B737, AUS, DEP, IAD, 0, 238.382, 33.006, 525.104, 484.389, 38000, 6809, -1, 78940, 36000, n/a, ZDC, 79270, 78190, 6692, 17000, 77960.0, 78210.0, 250.0, 0.172, 229.0, 272.0
213, ABJ3572_76T, 236, 50900, 53250, 50891, 53256, 279.887, 53.8, 561.05, 528.634, 36000, 3784, L, B739, ORD, DEP, BWI, 0, 279.481, 54.463, 560.575, 528.782, 36000, 4030, -1, 52120, 36000, n/a, ZDC, 52370, 51130, 3784, 27000, 50900.0, 51580.0, 680.0, 0.32941176470588235, 192.0, 416.0
218, ABJ368_180, 207, 77110, 79300, 77109, 79301, 494.169, 247.654, 632.269, 531.769, 33000, 3453, L, B764, EDDM, UNK, IAD, 0, 492.826, 247.825, 631.903, 532.467, 33000, 3974, -1, 78270, 33000, n/a, ZDC, 78190, 77340, 3453, 10100, 77110.0, 77260.0, 150.0, 0.58, 227.0, 314.0
221, ABJ3706_331, 150, 59870, 61360, 59866, 61360, 248.083, 137, 617.2, 529.376, 32000, 1930, L, B739, SFO, DEP, IAD, 0, 247.834, 137.842, 616.667, 529.826, 32000, 2153, -1, 61020, 32000, n/a, ZDC, 60430, 60110, 1930, 31000, 59870.0, 60830.0, 960.0, 0.18958333333333333, 200.0, 382.0
223, ABJ3707_376, 470, 42510, 47200, 42501, 47207, 400, 212.415, 626.884, 146.954, 36000, 2915, L, B738, MROC, UNK, EWR, 0, 399.517, 212.673, 626.537, 147.844, 36000, 3124, -1, 43810, 36000, n/a, ZNY, 46270, 42830, 2915, 6000, 42510.0, 42610.0, 100.0, 0.42, 226.0, 268.0
225, ABJ3708_997, 445, 80460, 84900, 80459, 84903, 399.762, 207.325, 626.95, 152.75, 38000, 2750, L, B738, MROC, UNK, EWR, 0, 399.594, 207.707, 626.433, 153.789, 37989, 3179, -1, 81690, 36000, n/a, ZNY, 84140, 80860, 2750, 6000, 80460.0, 80550.0, 90.0, 0.35555555555555557, 226.0, 258.0
227, ABJ3709_152, 215, 80990, 83130, 80982, 83135, 244.436, 36.3, 527.034, 489.325, 30000, 1600, L, B738, PHX, DEP, IAD, 0, 243.997, 37.116, 526.915, 489.542, 30000, 1891, -1, 81860, 30000, n/a, ZDC, 82220, 81060, 1600, 30000, 80990.0, 81830.0, 840.0, 0.2119047619047619, 189.0, 367.0
232, ABJ3715_978, 464, 10740, 15370, 10732, 15379, 400.2, 162.225, 626.935, 176, 32000, 2907, L, B739, MCO, OVR, EWR, 0, 400.031, 162.575, 626.396, 176.729, 32000, 3398, -1, 11800, 30000, n/a, ZNY, 14370, 11080, 2907, 6000, 10740.0, 10810.0, 70.0, 0.37142857142857144, 197.0, 223.0
233, ABJ3717_919, 386, 49290, 53140, 49285, 53144, 432.708, 324, 627.25, 225.269, 35000, 2750, L, B739, TNCA, UNK, EWR, 0, 432.44, 324.257, 626.826, 226.267, 35000, 3155, 52440, 51800, 35000, n/a, ZNY, 51970, 49750, 2750, 6000, 49290.0, 49390.0, 100.0, 0.26, 224.0, 250.0
49, ABJ207_474, 378, 51510, 55280, 51501, 55285, 348.156, 35.775, 584.552, 355.375, 30066, 1550, L, A320, IAH, OVR, PHL, 0, 347.796, 36.466, 584.153, 355.953, 30027, 1698, -1, 52710, 30000, n/a, ZNY, 54240, 52280, 1550, 10000, 51510.0, 51730.0, 220.0, 0.45454545454545453, 157.0, 257.0
50, ABJ214_488, 436, 65120, 69470, 65120, 69477, 406.3, 19.492, 644.6, 379.323, 34000, 7300, L, A320, IAH, OVR, LGA, 0, 405.692, 20.228, 644.333, 379.726, 34000, 7825, -1, 66400, 34000, n/a, ZNY, 68400, 66420, 7300, 25200, 65120.0, 65770.0, 650.0, 0.2246153846153846, 253.0, 399.0
52, ABJ216_60A, 454, 51540, 56190, 51538, 56194, 395.577, 74.033, 627.6, 254.933, 36000, 6507, L, A320, RSW, OVR, EWR, 0, 394.955, 74.481, 627.259, 255.86, 36000, 7022, -1, 52710, 32000, n/a, ZNY, 54980, 52600, 6507, 13000, 51540.0, 51700.0, 160.0, 0.16875, 235.0, 262.0
53, ABJ217_44C, 193, 78070, 79990, 78068, 79998, 238.236, 57.733, 568.833, 522.624, 36000, 6815, Z, B752, ORD, DEP, IAD, 0, 237.468, 58.342, 568.437, 522.725, 36000, 6906, -1, 79130, 36000, n/a, ZDC, 79170, 78330, 6815, 36000, 78070.0, 79110.0, 1040.0, 0.10673076923076923, 254.0, 365.0
55, ABJ227_33T, 371, 57920, 61620, 57912, 61622, 396.802, 34.285, 630.2, 495.777, 38000, 3400, L, A319, IAH, OVR, EWR, 0, 396.337, 35.329, 630.055, 496.226, 38000, 3662, -1, 59030, 32000, n/a, ZNY, 60750, 58810, 3400, 17000, 57920.0, 58280.0, 360.0, 0.44166666666666665, 183.0, 342.0
59, ABJ238_848, 413, 75110, 79230, 75103, 79239, 398.54, 19.662, 626.673, 382.815, 37000, 3623, L, B763, IAH, OVR, EWR, 0, 398.228, 20.299, 626.223, 383.163, 37000, 4081, 78980, 76150, 34000, n/a, ZNY, 78280, 76130, 3623, 16800, 75110.0, 75390.0, 280.0, 0.2714285714285714, 243.0, 319.0
