AC_NUM, ACID, TRACK_CNT, ST_TIME, END_TIME, ORIG_ST_TIME, END_ST_TIME, MAX_X, MIN_X, MAX_Y, MIN_Y, MAX_Z, MIN_Z, AC_EQUIP, AC_TYPE, DEST_FIX, FLIGHT_TYPE, ORIGIN_FIX, GAP_VALUE, MAX_X_SMO, MIN_X_SMO, MAX_Y_SMO, MIN_Y_SMO, MAX_Z_SMO, MIN_Z_SMO, TOD_TIME, TOC_TIME, TOC_ALT, END_CENTER, START_CENTER, END_CENTER_TIME, START_CENTER_TIME, LOW_Z, HIGH_Z, LOW_TIME, HIGH_TIME, BETWEEN_TIME, AVG_CLIMB, LOW_GROUND_SPEED_SMO, HIGH_GROUND_SPEED_SMO
2, ABJ016_201, 209, 59650, 61730, 59643, 61734, 244.454, 55.833, 568.4, 524.038, 34000, 2216, L, A320, ORD, DEP, IAD, 0, 244.076, 56.562, 567.961, 524.192, 34000, 2394, -1, 60820, 34000, n/a, ZDC, 60900, 59660, 2216, 34000, 59650.0, 60810.0, 1160.0, 0.16379310344827586, 170.0, 360.0
3, ABJ0329_857, 371, 72940, 76770, 72937, 76773, 397.229, 13.477, 627.876, 399.184, 40000, 3650, L, B772, CWF, OVR, EWR, 0, 396.706, 14.347, 627.83, 399.754, 40000, 3965, -1, 73890, 38000, n/a, ZNY, 75780, 74110, 3650, 38000, 72940.0, 73860.0, 920.0, 0.29456521739130437, 191.0, 462.0
5, ABJ0377_966, 437, 3310, 7670, 3301, 7670, 397.552, 15.8, 627.925, 389.1, 36000, 2475, L, B739, IAH, OVR, EWR, 0, 397.189, 17.242, 627.886, 389.958, 36000, 2732, -1, 4500, 34000, n/a, ZNY, 6470, 4480, 2475, 33900, 3310.0, 4480.0, 1170.0, 0.17863247863247864, 178.0, 387.0
6, ABJ043_688, 275, 9670, 12410, 9668, 12416, 424.3, 248.133, 539.6, 254.1, 35000, 6866, L, B763, SBGR, UNK, IAD, 0, 423.506, 248.456, 539.328, 254.844, 35000, 7213, -1, 11080, 31000, n/a, ZDC, 11210, 9970, 6866, 19000, 9670.0, 10070.0, 400.0, 0.4425, 246.0, 423.0
11, ABJ076_058, 94, 74200, 75260, 74195, 75265, 248.7, 232.767, 639.859, 534.89, 31775, 4766, L, B772, RJAA, UNK, IAD, 0, 248.641, 233.036, 638.882, 535.234, 31618, 5102, -1, 75260, 31775, n/a, ZDC, 74650, 74290, 4766, 31775, 74200.0, 75260.0, 1060.0, 0.20660377358490567, 233.0, 452.0
13, ABJ088_64A, 208, 76490, 78560, 76486, 78566, 244.886, 43.154, 526.569, 522.2, 30000, 1530, Z, B752, LAX, DEP, IAD, 0, 244.397, 43.996, 526.483, 522.222, 30000, 1758, -1, 77460, 30000, n/a, ZDC, 77620, 76800, 1530, 11900, 76490.0, 76780.0, 290.0, 0.33448275862068966, 189.0, 286.0
17, ABJ108_142, 263, 51690, 54310, 51687, 54314, 252.233, 47.8, 547.867, 429.158, 36000, 1669, L, A319, ORD, DEP, RIC, 0, 251.886, 48.47, 547.369, 429.443, 36000, 1931, -1, 53240, 35000, n/a, ZDC, 53510, 51720, 1669, 19900, 51690.0, 52110.0, 420.0, 0.36428571428571427, 150.0, 303.0
18, ABJ114_083, 19, 86210, 86390, 86210, 86397, 398.9, 386.726, 627.1, 625.558, 11025, 2200, L, A320, MSY, OVR, EWR, 0, 398.375, 387.264, 626.867, 625.62, 10695, 2675, -1, 86390, 11025, n/a, n/a, 0, 0, 2200, 11025, 86210.0, 86390.0, 180.0, 0.23333333333333334, 205.0, 247.0
22, ABJ135_329, 435, 78170, 82640, 78168, 82649, 398.205, 78.375, 628.584, 264.175, 36100, 2166, L, A320, TPA, OVR, EWR, 0, 397.711, 78.713, 628.508, 264.859, 36094, 2529, -1, 79140, 30000, n/a, ZNY, 81450, 79430, 2166, 29900, 78170.0, 79120.0, 950.0, 0.2463157894736842, 172.0, 406.0
25, ABJ148_304, 390, 53760, 57650, 53754, 57650, 410.95, 33.9, 643.784, 497, 32000, 2550, L, A320, IAH, OVR, LGA, 0, 410.719, 34.917, 643.388, 497.325, 32000, 2903, -1, 54980, 32000, n/a, ZNY, 56790, 55200, 2550, 17000, 53760.0, 54140.0, 380.0, 0.47368421052631576, 183.0, 363.0
29, ABJ159_154, 252, 78550, 81060, 78541, 81069, 243.288, 14.7, 525.126, 393.146, 26183, 2446, L, A320, MSY, DEP, IAD, 0, 243.034, 15.453, 524.583, 393.419, 26064, 2870, -1, 79360, 26000, n/a, ZDC, 80030, 78860, 2446, 26000, 78550.0, 79330.0, 780.0, 0.23205128205128206, 201.0, 382.0
35, ABJ176_441, 218, 45430, 47600, 45427, 47605, 244.452, 41.258, 526.675, 522.2, 34000, 2100, Z, B752, DEN, DEP, IAD, 0, 243.92, 42.041, 526.561, 522.206, 34000, 2485, -1, 46540, 34000, n/a, ZDC, 46700, 45480, 2100, 34000, 45430.0, 46510.0, 1080.0, 0.18055555555555555, 173.0, 368.0
36, ABJ181_897, 152, 46850, 48360, 46845, 48364, 243.033, 131.738, 614.485, 529.867, 34000, 3869, Z, B752, SFO, DEP, IAD, 0, 242.617, 132.517, 613.949, 530.294, 34000, 4361, -1, 47940, 34000, n/a, ZDC, 47240, 46870, 3869, 34000, 46850.0, 47930.0, 1080.0, 0.16666666666666666, 215.0, 395.0
37, ABJ183_694, 454, 39460, 43990, 39452, 43995, 398.93, 35.175, 626.377, 354.933, 38100, 3707, L, A319, ATL, OVR, EWR, 0, 398.441, 35.846, 626.328, 355.497, 38055, 4090, -1, 40440, 36000, n/a, ZNY, 42940, 40340, 3707, 21000, 39460.0, 39870.0, 410.0, 0.3170731707317073, 200.0, 330.0
41, ABJ18_815, 239, 76990, 79370, 76985, 79376, 535.462, 247.6, 599.123, 524.533, 31000, 2366, L, B764, LIRF, UNK, IAD, 0, 534.402, 247.698, 598.693, 524.737, 31000, 2673, -1, 78290, 31000, n/a, ZDC, 78560, 77290, 2366, 23000, 76990.0, 77640.0, 650.0, 0.4276923076923077, 210.0, 488.0
96, ABJ3175_095, 470, 5770, 10460, 5765, 10460, 405.492, 202.2, 627.483, 156.5, 38000, 2546, L, B739, RSW, OVR, EWR, 0, 405.044, 202.725, 627.261, 157.55, 38000, 2987, -1, 9010, 38000, n/a, ZNY, 9630, 6220, 2546, 6000, 5770.0, 5860.0, 90.0, 0.6, 202.0, 256.0
99, ABJ3178_989, 150, 81320, 82810, 81318, 82811, 244.751, 129.192, 614.433, 527.782, 34000, 1866, L, B737, SAN, DEP, IAD, 0, 244.526, 130.048, 613.817, 528.285, 34000, 2310, -1, 82290, 34000, n/a, ZDC, 81710, 81330, 1866, 34000, 81320.0, 82280.0, 960.0, 0.21979166666666666, 178.0, 389.0
